rsi,stoch_rsi_k,macd_hist,bb_pct,bb_width,adx,di_plus,di_minus,mfi,cmf,fib_pos,supertrend_dir,weekly_trend,rs_vs_tasi,vol_ratio,vwap_diff_pct,dist_from_sma20_pct,dist_from_sma50_pct,obv_vs_ma_pct,hit,ticker,date,was_picked
43.157163725728,26.98720268731996,-0.06462151693974083,0.312319533869926,0.10056976746546106,24.351581369095985,12.164129740834682,25.50312697604473,42.741812572776304,0.0,0.220338818671342,-1.0,1.0,0.988258407998773,0.21672476827140127,0.6370515328625135,-1.8874980836510884,-1.5720354273116008,-185.54768796425867,0,1010,2026-05-10,0
46.104911090770706,10.031590532239726,-0.0332559095024227,0.19564625794457624,0.0410113389464147,14.581746644076205,25.89570506215389,25.586345873523673,51.05708804031111,0.0,0.19402999945911015,-1.0,1.0,1.0086885231900289,0.3498169321352386,0.48253288287147206,-1.2481954475044654,0.1205240395030537,-46.64656043491245,0,1020,2026-05-10,0
51.925336643141954,36.30961511871524,-0.02030208844657842,0.4404862583916249,0.054870086018398226,15.537294935643107,22.457027167233154,24.46017930370323,48.67979903199617,0.0,0.402778108915009,-1.0,1.0,1.0180104396114797,0.4028269430490931,0.8789729093556197,-0.3265524121328267,1.5117188358646978,-3.265980486479726,0,1030,2026-05-10,0
48.796540914408155,25.884124061971935,-0.1051288298325106,0.36458491066867055,0.12530244569031057,19.91085266360114,23.871973595466553,24.75425813944688,47.44790005602392,0.0,0.3571427922670651,-1.0,1.0,1.0057404850505458,0.25595375010198435,2.3150508681952604,-1.6967841876587466,-0.30862029275381536,10.266297481570216,0,1050,2026-05-10,0
43.63082423578444,24.22064999626393,-0.1364152314096736,0.3589503008037069,0.17272388244848885,31.651066620585418,17.886116998216018,35.16039864621504,34.79675407586028,0.0,0.288135880884396,-1.0,1.0,0.9598373947925478,0.428459829543645,1.924825870967641,-2.436265166337524,-2.4070623041741923,-4.437942128908538,0,1060,2026-05-10,0
43.627174512409965,7.484784623535682,-0.1434504157332277,0.21524274903540647,0.09451442258492518,22.00201643317294,21.835529213923763,29.111293212829118,41.045850674629065,0.0,0.18055600933540433,-1.0,-1.0,0.9918718575457367,0.24190237476333756,1.0037365686270603,-2.6913667151789187,-0.20193117132917948,-0.37424965892768597,0,1080,2026-05-10,0
44.95496047416393,46.95138531570719,-0.2188776470364835,0.35310467056200845,0.16057111856744494,18.852218231634094,22.631214843968678,28.458437055359305,27.406443324952647,0.0,0.27692276392227566,-1.0,-1.0,0.9960476316876964,0.21273661849487271,1.408795557697878,-2.358714736019162,-2.067782380081324,-2383.591193777389,1,1111,2026-05-10,0
42.10574453895046,15.858758541353126,-0.37450012729874527,0.2768742842452257,0.11730706779911994,20.521197729230302,23.159569753321993,30.253795452318283,34.28792359245563,0.0,0.20289872699710415,-1.0,-1.0,0.9577239263487318,0.5478544402325674,1.4761697540474021,-2.6174223465772473,-1.793460116097498,-6.991542181808823,0,1120,2026-05-10,0
38.50328813172489,11.196837888257662,-0.10779053375799852,0.2895561231205879,0.16299398141574897,23.1545045697367,22.249176198578073,32.55129812431993,29.895077106450515,0.0,0.1645964241373101,-1.0,-1.0,0.9455673856944621,0.32824091338702205,1.212559775192768,-3.430108535714106,-4.509099813387963,-13.863234901031804,0,1140,2026-05-10,0
43.678545099255345,11.539557559835877,-0.14528947671364165,0.18778638296768743,0.08441624274666552,20.550912369469774,21.930465540332545,33.50935964988627,34.48014393100047,0.0,0.16721323162472373,-1.0,1.0,0.9891112728730359,0.4757137566916811,0.8742200503895143,-2.6355900484214168,-0.7072091478150666,-18.15804552999801,0,1150,2026-05-10,0
46.16773999300407,53.223268565332354,-0.08191875022100537,0.40687737729232626,0.1695472352625276,30.834342250685673,21.511814360214352,32.17768596185951,18.209209956654334,0.0,0.2736485528632147,-1.0,-1.0,0.9504697732867473,0.34075605202088444,2.904174226636267,-1.5788683220481552,-2.7082210125677375,2.4626000595990467,0,1180,2026-05-10,0
57.24669379734844,33.684734264384225,0.017368960723550778,0.6960195414722946,0.07039161490095756,25.671284237895673,22.94988467351138,17.584629012044477,81.63519453479236,0.0,0.7564107109888994,-1.0,-1.0,1.0717720148864605,0.07729102878441593,1.659056994124735,1.3798132076380043,2.354048075806465,17.15738069694547,0,1182,2026-05-10,0
